Japanese Input,Japanese,Type,Image,Audio,Vietnamese,Korean,Chinese_Simplified,Chinese_Traditional,English,Spanish_LA,Spanish_SP,Word_1,Word_2,Word_3,Word_4,Word_Example_1,Word_Example_2,Word_Example_3,Word_Example_4,Word_Example_1_Audio,Word_Example_2_Audio,Word_Example_3_Audio,Word_Example_4_Audio
まちがえるなよ<br>昔は もどりの電車があったんだが<br>近頃(ちかごろ)は行きっぱなしだ,間違え[まちがえ]るなよ<br> 昔[むかし]は 戻[もど]りの 電車[でんしゃ]があったんだが<br> 近頃[ちかごろ]は 行[い]きっぱなしだ,間違えるなよ昔は戻りの電車があったんだが近頃は行きっぱなしだ,"<img src=""Spirited_Away_-_ja_-_Jap_5455449.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_5454740.mp3],"Trạm thứ sáu.<br>Đừng nhầm nhé.<br>Ngày xưa sẽ có chuyến tàu quay lại,<br>nhưng giờ phải đi một chiều.","틀리면 안 돼, 예전엔<br>돌아오는 기차도 있었지만<br>지금은 가는 기차만 있어",不[bú]要[yào]搞[gǎo]错[cuò]了[le]<[<br>]b[yǐ]r[qián]>[hái]以[yǒu]前[huí]还[lái]有[de]回[diàn]来[chē]的[<br>]电[zuì]车[jìn]<[dōu]b[zhǐ]r[qù]>[bù]最[huí],不[bú]要[yào]搞[gǎo]錯[cuò]了[le]喔[ō]<[<br>]b[yǐ]r[qián]>[hái]以[yǒu]前[huí]還[lái]有[de]回[diàn]來[chē]的[<br>]電[zuì]車[jìn]<[dōu]b[zhǐ]r[qù]>[bù]最[huí],"Make sure you get it right.<br>There used to be a return train,","Asegúrate de bajarte bien.<br>Antes había un tren de vuelta,<br>pero ahora solo hay uno de ida.<br>¿Quieres ir igual?","No te equivoques.<br>Había un tren de vuelta,<br>pero ahora solo lo hay de ida.",まちがえる:エラーをする、 正[ただ]しくない 行動[こうどう]をする,近頃[ちかごろ]: 最近[さいきん]のこと,~んだが: 説明[せつめい]や 逆接[ぎゃくせつ]を 表[あらわ]す,~っぱなし: 動作[どうさ]が 続[つづ]いたままの 状態[じょうたい],答[こた]えをまちがえた。,近頃[ちかごろ] 忙[いそが]しい。,行[い]きたかったんだが 行[い]けなかった。,窓[まど]を 開[あ]けっぱなしにする。,[sound:hypertts-56bad66e8e9e172e57a7693cd815ec98c69b919f54f48a6171b56a8e.mp3],[sound:hypertts-55eb243a532ec3982174ec5eb5064867a10a03a99800c31ebf297b18.mp3],[sound:hypertts-a5d6729d9a5be5e7a374fbb28439345c3b7917715ef373db29737e95.mp3],[sound:hypertts-34741a211405ff1e6df76814d6544257bddebcef5a13ebacb3ee9cdc.mp3]
わからんか？　愛(あい)だ 愛(あい)！,分[わ]からんか？　 愛[あい]だ 愛[あい]！,分からんか愛だ愛,"<img src=""Spirited_Away_-_ja_-_Jap_5478389.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_5478389.mp3],"Cháu không hiểu à?Tình yêu, tình yêu đó!",보고도 모르냐? 사랑이야,你[nǐ]不[bù]懂[dǒng]吗[ma]？[？]爱[ài] 是[shì]爱[ài],妳[nǐ]不[bù]懂[dǒng]嗎[ma]，[，]愛[ài]，[，]是[shì]愛[ài],Don't you see? It's called... love...,¿No lo ves? Se llama... amor.,¿No lo ves? Se llama amor.,愛[あい]: 人[じん]や 物事[ものごと]を 大切[たいせつ]に 思[おも]う 気持[きも]ち,,~んか: 関西弁[かんさいべん]などで 使[つか]われる「~のか」のくだけた 言い方[いいかた],,愛[あい]は 人生[じんせい]の 力[ちから]になる。,,そんなことも 知[し]らんか。,,[sound:hypertts-52854cce48b5cdcb86312bd96db4502571939c114ff0b820a5001507.mp3],,[sound:hypertts-a76ca019684e311079e3e17f44e7e4ba964f252bc84ea6af73297923.mp3],
ますます大きくなってるよ,ますます 大[おお]きくなってるよ,ますます大きくなってるよ,"<img src=""Spirited_Away_-_ja_-_Jap_5488816.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_5488816.mp3],Hắn càng ngày càng to lên.,점점 더 커지고 있어,越[yuè]来[lái]越[yuè]大[dà]了[le],越[yuè]來[lái]越[yuè]大[dà]了[le],It just keeps getting bigger.,No para de agrandarse.,¡Cada vez es más grande!,ますます: 時間[じかん]が 経[た]つにつれて 程度[ていど]が 強[つよ]くなる 様子[ようす],,~ている: 動作[どうさ]や 状態[じょうたい]の 進行[しんこう]・ 継続[けいぞく],~よ: 聞き手[ききて]に 強調[きょうちょう]して 伝[つた]える 終助詞[しゅうじょし],勉強[べんきょう]がますます 難[むずか]しくなる。,,子[こ]どもが 遊[あそ]んでいる。,明日[あした] 行[い]くよ。,[sound:hypertts-ab983ef099cd70e49eda33c22fefa94da928e448d33e49766b3067b1.mp3],,[sound:hypertts-56957c39f08b4226ae5792271720ac98df1b5c447d48d6ac26aad841.mp3],[sound:hypertts-48a6595e5d9f3500f07ced60a5ae31c9777ebd9f030ef29e2c876753.mp3]
千か　よかった<br>湯婆婆(ゆばーば)様では<br>もう抑(おさ)えられんのだ<br>（大きな振動音(しんどうおん)）,千[せん]か　よかった<br>湯婆婆[ゆばーば] 様[さま]では<br>もう 抑[おさ]えられんのだ<br>（ 大[おお]きな 振動音[しんどうおん]）,千かよかった湯婆婆様ではもう抑えられんのだ,"<img src=""Spirited_Away_-_ja_-_Jap_5501746.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_5501746.mp3],"Sen à, cảm ơn trời.<br>Yubaba không thể ngăn hắn nữa rồi.",센!<br>이젠 유바바도 못 막아<br>이젠 유바바도 못 막아,是[shì]小[xiǎo]千[qiān]吗[ma]？[？]太[tài]好[hǎo]了[le]<[<br>]b[lián]r[tāng]>[pó]连[po]汤[dōu]婆[wú]婆[fǎ]都[yìng]无[fù]法[le]应[<br>]付[lián]了[tāng]<[pó]b[po]r[dōu]>[wú]连[fǎ]汤[yìng]婆[fù]婆[le],是[shì]小[xiǎo]千[qiān]嗎[ma]？[？]太[tài]好[hǎo]了[le]<[<br>]b[tāng]r[pó]>[po]湯[dōu]婆[wú]婆[fǎ]都[yīng]無[fù]法[le]應[<br>]付[tāng]了[pó]<[po]b[dōu]r[wú]>[fǎ]湯[yīng]婆[fù]婆[le],"Thank goodness, Sen.<br>Yubaba can't control him.","Gracias al cielo, Sen.<br>Yubaba no puede controlarlo.<br>Yubaba no puede controlarlo.","¡Menos mal, Sen!<br>Yubaba no puede controlarlo.<br>Yubaba no puede controlarlo.",抑[おさ]える: 勢[いきお]いや 感情[かんじょう]をとめる,様[さま]: 人[じん]に 対[たい]する 尊敬[そんけい]の 呼[よ]び 方[かた],~のだ: 状況[じょうきょう]の 説明[せつめい]や 強調[きょうちょう],~られん:「られない」のくだけた 言い方[いいかた],怒[いか]りを 抑[おさ]える。,神様[かみさま]に 祈[いの]る。,今日[きょう]は 休[やす]みなのだ。,もう 待[ま]てられん。,[sound:hypertts-ceb19d1badc7bc0ee50bcbdaf1a00ffd2b7287a345f2b750f8ba9456.mp3],[sound:hypertts-b6b95dc2a688eecc20fd251dfe3e67db8c1b6f09c310ff3db316999e.mp3],[sound:hypertts-aab1064e24a44854a39bbaadd67b088a75211d4c01c6b847fbe48af8.mp3],[sound:hypertts-84f82d25b56225ff8aaa068203e37c33210f37e584cbc3443fed358a.mp3]
ほんのちょっとお待ちくださいね<br>ふんっ！（大きな鼻息）,ほんのちょっとお 待[ま]ちくださいね<br>ふんっ！（ 大[おお]きな 鼻息[はないき]）,ほんのちょっとお待ちくださいねふんっ,"<img src=""Spirited_Away_-_ja_-_Jap_5528481.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_5528481.mp3],Ngài vui lòng đợi trong chốc lát.,"손님, 센이 왔어요<br>잠깐만 기다려 주세요",客[kè]人[rén] 小[xiǎo]千[qiān]来[lái]了[le] 您[nín]再[zài]等[děng]一[yí]下[xià],客[kè]人[rén]，[，]小[xiǎo]千[qiān]來[lái]了[le]，[，]您[nín]再[zài]等[děng]一[yí]下[xià],We'll be right with you.,"Ya llegó, querido huésped.<br>Ya vamos con usted.","Ha venido Sen, querido huésped.<br>Ahora mismo vamos.",ほんの:ごくわずかであることを 表[あらわ]す,待[ま]つ:その 場[ば]でとどまり 続[つづ]ける,~ください: 丁寧[ていねい]な 依頼[いらい],~ね: 相手[あいて]に 確認[かくにん]や 共感[きょうかん]を 求[もと]める,ほんの 少[すこ]し 時間[じかん]をください。,友達[ともだち]を 駅[えき]で 待[ま]つ。,少々[しょうしょう]お 待[ま]ちください。,きれいだね。,[sound:hypertts-db6f545d9958e256f4dfd330012b9d67fbe8256a9ce281c8778eba07.mp3],[sound:hypertts-177c773e4270dae52852e72fc7c3991a4b98d6862d7668d34868b4e7.mp3],[sound:hypertts-e99d123ec1d5c9f2e4835ede2ab7cc17f0bb0b68d260e5de75443069.mp3],[sound:hypertts-3091df162a69bd421a85435003679f0e66f1c24f7d9dd4b609485eac.mp3]
あの… ご存知(ぞんじ)ないですか？,あの…ご 存知[ぞんじ]ないですか？,あのご存知ないですか,"<img src=""Spirited_Away_-_ja_-_Jap_5545665.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_5545665.mp3],Dạ thưa... bà chủ không biết nó sao?,모르시겠어요?,你[nǐ]不[bù]认[rèn]识[shí]它[tā]吗[ma]？[？],這[zhè]個[gè]…[…]你[nǐ]不[bù]認[rèn]識[shí]嗎[ma]？[？],Don't you recognize him?,¿No lo reconoce?,¿No lo reconoces?,存知[ぞんち]:「 知[し]っている」の 謙譲[けんじょう]・ 尊敬[そんけい] 表現[ひょうげん],,~ないですか: 丁寧[ていねい]な 否定[ひてい] 疑問[ぎもん]で、 確認[かくにん]や 依頼[いらい]を 表[あらわ]す,,先生[せんせい]はその 件[けん]をご 存知[ぞんじ]です。,,この 本[ほん]は 図書館[としょかん]にないですか。,,[sound:hypertts-03394afc348d4a66497404013372549a63aaad39ba202775e1178734.mp3],,[sound:hypertts-7779ac94b738f1d604d5580e24ed3429178246349b95a762da6a961a.mp3],
知るわけないだろ<br>おお イヤだ,知[し]るわけないだろ<br>おおイヤだ,知るわけないだろおおイヤだ,"<img src=""Spirited_Away_-_ja_-_Jap_5548125.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_5548125.mp3],Làm sao ta biết nó được chứ? Khiếp thật.,"알 턱이 있나, 징그러워!",我[wǒ]怎[zěn]么[me]可[kě]能[néng]认[rèn]识[shí]它[tā]？[？],我[wǒ]怎[zěn]麼[me]可[kě]能[néng]認[rèn]識[shí]？[？],"Of course not, how disgusting.",Claro que no. Qué repugnante.,¡Claro que no! ¡Qué asco!,わけ: 理由[りゆう]や 当然[とうぜん]の 結果[けっか]を 表[あらわ]す,,~わけない: 強[つよ]い 否定[ひてい]を 表[あらわ]す,~だろ: 推量[すいりょう]や 強調[きょうちょう]のくだけた 言い方[いいかた],彼[かれ]が 来[こ]ないわけがない。,,そんなことできるわけない。,明日[あした]も 雨[あめ]だろ。,[sound:hypertts-cac2c4540b39815895d92ac1d929ea78c42a87a42481b397c694707b.mp3],,[sound:hypertts-af4b3731cb8c7df125d268cf72ba64e5037ac17f5f3691fab16f5e46.mp3],[sound:hypertts-1e2841996a9771f56657e998b58a59cd074cceeb4bb90b030b71c7c2.mp3]
お前が代わるかい？,お 前[まえ]が 代[か]わるかい？,お前が代わるかい,"<img src=""Spirited_Away_-_ja_-_Jap_5559804.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_5559804.mp3],Ngươi muốn vào thế chỗ à?,그럼 네가 대신 들어갈래?,那[nà]你[nǐ]去[qù]代[dài]替[tì]她[tā],那[nà]你[nǐ]去[qù]代[dài]替[tì]她[tā],Want to take her place?,¿Quieres ir en su lugar?,¿Quieres ir en su lugar?,代[か]わる: 役目[やくめ]や 立場[たちば]を 他人[たにん]と 交代[こうたい]する,お 前[まえ]: 親[した]しい 間柄[あいだがら]で 相手[あいて]を 呼[よ]ぶ 言い方[いいかた],~かい:カジュアルな 疑問[ぎもん],,彼[かれ]が 私[わたし]の 代[か]わりに 行[い]った。,お 前[まえ]はどう 思[おも]う？,行[い]くかい？,,[sound:hypertts-46a2c7c694fd6810fa2d5c0ed00342727d3be5fc45f2d93b5134eabf.mp3],[sound:hypertts-8fdfb63bc7ffb003a87d0d549b7de64a7b975e3fbaf46925465d0b62.mp3],[sound:hypertts-7a06e9e9ab089907d904cbdf2df36e9d7ae9de50c881f9bd74842c2f.mp3],
これ食うか？　うまいぞー,これ 食[く]うか？　うまいぞー,これ食うかうまいぞー,"<img src=""Spirited_Away_-_ja_-_Jap_5582159.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_5582159.mp3],Ăn cái này nhé? Ngon lắm đó.,"이거 먹어 봐, 맛있어",要[yào]吃[chī]吗[ma]？[？]很[hěn]好[hǎo]吃[chī],要[yào]吃[chī]嗎[ma]？[？]很[hěn]好[hǎo]吃[chī]喔[ō],"Try this, it's yummy.","Prueba esto, es delicioso.","Prueba esto, está muy rico.",食[く]う:「 食[た]べる」のくだけた 言い方[いいかた],うまい:おいしい、または 上手[じょうず],~か: 短[みじか]い 疑問文[ぎもんぶん],~ぞ: 強調[きょうちょう]や 親[した]しみを 込[こ]める,昼ご飯[ひるごはん]を 食[く]う。,このケーキはうまい。,行[い]くか？,今日[きょう]は 寒[さむ]いぞ。,[sound:hypertts-da3d8ffb12cb926dcea6f38a6667298cc9afc09c6f72b03092521af1.mp3],[sound:hypertts-3d37d365254db5b46202605f94febddefbcfee70bfca7543b9bd3d67.mp3],[sound:hypertts-9335d349c2682798bb420f7c3619094409c521a696ece6c4af619356.mp3],[sound:hypertts-4f34b9cda1c731ff2628fb1e3575c5fc2fe37f19849f1227d4d9ee92.mp3]
私(わたし)が欲(ほ)しいものは<br>あなたには絶対 出せない,私[わたし]が 欲[ほ]しいものは<br>あなたには 絶対[ぜったい] 出[だ]せない,私が欲しいものはあなたには絶対出せない,"<img src=""Spirited_Away_-_ja_-_Jap_5610938.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_5610938.mp3],Cậu chắc chắn không tạo ra được<br>điều mình muốn đâu.,너한텐 내가 원하는 게 없어,我[wǒ]想[xiǎng]要[yào]的[de]东[dōng]西[xī] 你[nǐ]绝[jué]对[duì]拿[ná]不[bù]出[chū]来[lái],我[wǒ]想[xiǎng]要[yào]的[de]東[dōng]西[xī]你[nǐ]絕[jué]對[duì]拿[ná]不[bù]出[chū]來[lái],You can't help me with what I want.,No puedes ayudarme con lo que necesito.,No puedes ayudarme con lo que quiero.,欲[ほ]しい: 自分[じぶん]が 手[て]に 入[い]れたい 気持[きも]ち,絶対[ぜったい]: 強[つよ]い 確信[かくしん]、 必[かなら]ず,~ものは…ない: 強[つよ]い 否定[ひてい]の 表現[ひょうげん],~には~ない: 相手[あいて]にできないことを 強調[きょうちょう],新[あたら]しい 靴[くつ]が 欲[ほ]しい。,明日[あした]は 絶対[ぜったい] 行[い]く。,彼[かれ]が 勝[か]てるものはない。,彼[かれ]には 理解[りかい]できない。,[sound:hypertts-93bd20c03c8e31114c729c3db3db14b2de2f15b632858abced89a3f5.mp3],[sound:hypertts-d0a459cf6f8d7397269d1099d8695c3d7cc6b48dfc39b91f5c7dd225.mp3],[sound:hypertts-b34381a694bfef47bec6eda5b47e585a4fae1883d85a1b46192db864.mp3],[sound:hypertts-d204c4b4dc00bbc19e3d7d2c6ac5a2026c9cc65177830f39222a821f.mp3]
あの人 湯屋にいるからいけないの<br>あそこを出た方がいいんだよ,あの 人[ひと] 湯屋[ゆや]にいるからいけないの<br>あそこを 出[で]た 方[ほう]がいいんだよ,あの人湯屋にいるからいけないのあそこを出た方がいいんだよ,"<img src=""Spirited_Away_-_ja_-_Jap_5811096.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_5810861.mp3],"Cậu ấy biến chất khi ở trong nhà tắm,<br>phải mau kéo cậu ấy ra khỏi đó.",목욕탕에서만 저래요<br>밖으로 데리고 나와야 해요<br>목욕탕에서만 저래요<br>밖으로 데리고 나와야 해요,那[nà]个[ge]人[rén]来[lái]到[dào]汤[tāng]屋[wū]才[cái]变[biàn]坏[huài]的[de]<[<br>]b[suǒ]r[yǐ]>[ràng]所[tā]以[lí]让[kāi]他[nà]离[lǐ]开[bǐ]那[jiào]里[hǎo]比[<br>]较[nà]好[ge]<[rén]b[lái]r[dào]>[tāng]那[wū]个[cái]人[biàn]来[huài]到[de]汤[<br>]屋[suǒ]才[yǐ]变[ràng]坏[tā]的[lí]<[kāi]b[nà]r[lǐ]>[bǐ]所[jiào]以[hǎo],那[nà]個[gè]人[rén]來[lái]到[dào]湯[tāng]屋[wū]才[cái]變[biàn]壞[huài]的[de]<[<br>]b[suǒ]r[yǐ]>[ràng]所[tā]以[lí]讓[kāi]他[nà]離[lǐ]開[bǐ]那[jiào]裡[hǎo]比[<br>]較[nà]好[gè]<[rén]b[lái]r[dào]>[tāng]那[wū]個[cái]人[biàn]來[huài]到[de]湯[<br>]屋[suǒ]才[yǐ]變[ràng]壞[tā]的[lí]<[kāi]b[nà]r[lǐ]>[bǐ]所[jiào]以[hǎo],He's only bad in the bath house.<br>He needs to get out of there.,Solo es malo cuando está en la casa<br>de baños. Tiene que salir de ahí.<br>Solo es malo cuando está en la casa<br>de baños. Tiene que salir de ahí.,No debería estar en la casa de baños.<br>Tiene que irse de ahí.<br>No debería estar en la casa de baños.<br>Tiene que irse de ahí.,湯屋[ゆや]: 温泉[おんせん]や 風呂[ふろ] 屋[や]を 指[さ]す 語[かたり],方[ほう]がいい:より 良[よ]い 選択[せんたく]を 示[しめ]す,~から: 理由[りゆう]を 示[しめ]す,~ 方[かた]がいい: 助言[じょげん]を 表[あらわ]す,彼[かれ]は 湯屋[ゆや]で 働[はたら]いている。,早[はや]く 寝[ね]た 方[ほう]がいい。,雨[あめ]だから 行[い]かない。,野菜[やさい]を 食[た]べた 方[ほう]がいい。,[sound:hypertts-9decff49de1817b71dd2875e4740030867e2d4f08066d041b7677d11.mp3],[sound:hypertts-433fc833a0e3109a6d28f4f109c09baff77086ada5cd45555a3f4275.mp3],[sound:hypertts-82c14692eb428c09b707e88e70cf30aa53553133f7f34ff18d6f3bf6.mp3],[sound:hypertts-05cbe42851ebf27e573e6baf33c5f54507ff76d51ceeeae9d6f79ade.mp3]
せーん！　お前のこと<br>どんくさいって言ったけど<br>取り消すぞー,せーん！　お 前[まえ]のこと<br>どんくさいって 言[い]ったけど<br> 取り消[とりけ]すぞー,せーんお前のことどんくさいって言ったけど取り消すぞー,"<img src=""Spirited_Away_-_ja_-_Jap_5853472.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_5853472.mp3],"Sen!<br>Chị từng bảo em khù khờ,<br>nhưng mà cho chị rút lại nhé!",센! 너한테<br>어리바리하다고 한 말<br>취소할게!,小[xiǎo]千[qiān]<[<br>]b[wǒ]r[shuō]>[guò]我[nǐ]说[hěn]过[chí]你[dùn]很[<br>]迟[nà]钝[jù]<[huà]b[wǒ]r[shōu]>[huí],小[xiǎo]千[qiān]<[<br>]b[wǒ]r[shuō]>[guò]我[nǐ]說[hěn]過[chí]妳[dùn]很[<br>]遲[nà]鈍[jù]<[huà]b[wǒ]r[shōu]>[huí],I know I called you a klutz!<br>I take it back!,¡Sé que dije que eras torpe!<br>¡Me retracto!,"¡Sen, sé que te llamé torpe!<br>¡Lo retiro!",どんくさい: 動作[どうさ]が 鈍[にぶ]い、のろい,取り消[とりけ]す: 言[い]ったことや 約束[やくそく]を 無効[むこう]にする,~けど: 軽[かる]い 逆接[ぎゃくせつ],~ぞ: 強調[きょうちょう]の 表現[ひょうげん],彼[かれ]はちょっとどんくさい。,発言[はつげん]を 取り消[とりけ]す。,雨[あめ]だけど 行[い]く。,今度[こんど]は 負[ま]けないぞ。,[sound:hypertts-ae1693cb77701cf1eb81f3d6fcc8e0c6f664d65f589404392031b329.mp3],[sound:hypertts-5ec07fcd07ba2a2ce83bd3bb4d6af33a7e5f87b856c869026f4ec70d.mp3],[sound:hypertts-6234349f2f2858d401882ac45785c46bbfb6d8738fa62fdecfe976b1.mp3],[sound:hypertts-1b77ce9eb27cf49fc395cfc17f35ccc0824f26dce78b995f3d5bec3d.mp3]
おとなしくしててね,おとなしくしててね,おとなしくしててね,"<img src=""Spirited_Away_-_ja_-_Jap_5969546.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_5969546.mp3],Cậu ngồi ngoan nhé.,얌전히 굴어,安[ān]份[fèn]一[yì]点[diǎn],安[ān]份[fèn]一[yī]點[diǎn]喔[ō],"Behave yourself, OK?","Compórtate, ¿sí?","Pórtate bien, ¿vale?",おとなしい: 静[しず]かで 落ち着[おちつ]いている,,~ている: 動作[どうさ]の 継続[けいぞく],~てね: 優[やさ]しい 依頼[いらい]や 確認[かくにん],彼[かれ]はとてもおとなしい 学生[がくせい]だ。,,勉強[べんきょう]している。,忘[わす]れないでね。,[sound:hypertts-04bc94b05ec7b00058283e196c3ddf581c35d4066f6891b171f58175.mp3],,[sound:hypertts-d19ed5c642389736b6c45e2c5dbed7da6cb61885e3c34f8939c5c6ea.mp3],[sound:hypertts-69b4b47c18ca4907dba6d769ebb76a67bbdea41d66a45b70c9b59c6a.mp3]
おお ハク　気がついたか,おおハク　 気[き]がついたか,おおハク気がついたか,"<img src=""Spirited_Away_-_ja_-_Jap_6097174.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_6097174.mp3],"Ồ Haku, cháu tỉnh rồi sao?","하쿠, 정신이 든 거냐?",白[bái]龙[lóng] 你[nǐ]醒[xǐng]过[guò]来[lái]了[le],白[bái]龍[lóng]，[，]你[nǐ]醒[xǐng]過[guò]來[lái]了[le],"Oh, Haku... You're awake.",Haku... Despertaste.,"Haku, estás despierto.",気[き]がつく: 注意[ちゅうい]や 意識[いしき]を 向[む]ける、 意識[いしき]が 戻[もど]る,,~か: 疑問[ぎもん]の 終助詞[しゅうじょし],,落[お]ちて 気[き]がついた。,,本当[ほんとう]か？,,[sound:hypertts-62b4a2f8ee3ac85ebea5f4812a96c3a78926111ac1eb42d0a8b27d2c.mp3],,[sound:hypertts-9927a5a3d8e0aa8d90bd11cafd03c968daab5ef32ff889845cf0937d.mp3],
きれぎれにしか思い出せません,きれぎれにしか 思い出[おもいだ]せません,きれぎれにしか思い出せません,"<img src=""Spirited_Away_-_ja_-_Jap_6108310.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_6107888.mp3],Kí ức của cháu mờ mịt lắm.,드문드문 기억이 나요,只[zhǐ]记[jì]得[de]一[yī]些[xiē]片[piàn]段[duàn],只[zhǐ]記[jì]得[dé]一[yī]些[xiē]片[piàn]段[duàn],Just little pieces.,Solo algunas cosas.,Solo fragmentos.,思い出[おもいだ]す: 過去[かこ]のことを 記憶[きおく]から 呼び戻[よびもど]す,きれぎれ: 途切れ途切[とぎれとぎ]れで 完全[かんぜん]でない 様子[ようす],~しか~ない: 限定[げんてい]と 否定[ひてい],,昔[むかし]の 歌[うた]を 思い出[おもいだ]す。,きれぎれの 声[ごえ]が 聞[き]こえる。,100 円[えん]しかない。,,[sound:hypertts-cb43ba938c6779a98496fa09fd9c9442251fab990f0f74688017f7de.mp3],[sound:hypertts-bbdb77441f830b101e9cf9272980f8cff7a18090e51998fd94592c03.mp3],[sound:hypertts-1f3757dc152418ae8e57d5aabda4f774a43cd2d63aa96fa8bc62464b.mp3],
その声をたよりに もがいて<br>気がついたら<br>ここに寝(ね)ていました,その 声[こえ]をたよりにもがいて<br> 気[き]がついたら<br>ここに 寝[ね]ていました,その声をたよりにもがいて気がついたらここに寝ていました,"<img src=""Spirited_Away_-_ja_-_Jap_6114066.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_6114066.mp3],Giọng nói ấy đã dẫn dắt cháu.<br>Tỉnh lại thì cháu đã ngủ ở đây.,목소릴 따라가다가<br>깨어보니 여기였어요<br>목소릴 따라가다가<br>깨어보니 여기였어요,我[wǒ]顺[shùn]着[zhe]那[nà]声[shēng]音[yīn]寻[xún]找[zhǎo]<[<br>]b[xǐng]r[lái]>[shí]醒[fā]来[xiàn]时[zì]发[jǐ]现[tǎng]自[zài]己[zhè]躺[lǐ],我[wǒ]順[shùn]著[zhù]那[nà]聲[shēng]音[yīn]尋[xún]找[zhǎo]<[<br>]b[xǐng]r[lái]>[shí]醒[fā]來[xiàn]時[zì]發[jǐ]現[tǎng]自[zài]己[zhè]躺[lǐ],I followed her voice<br>and woke up lying here...,Seguí su voz y desperté acostado aquí.<br>Seguí su voz y desperté acostado aquí.,He seguido su voz y he despertado aquí.<br>He seguido su voz y he despertado aquí.,もがく: 苦[くる]しみながら 必死[ひっし]に 動[うご]く,たより: 頼[たよ]るもの,~たら: 条件[じょうけん]や 時間[じかん]の 表現[ひょうげん],~ていました: 過去[かこ]の 動作[どうさ]の 継続[けいぞく],泳[およ]げずにもがく。,地図[ちず]をたよりに 進[すす]む。,家[いえ]に 帰[かえ]ったら 電話[でんわ]する。,勉強[べんきょう]していました。,[sound:hypertts-bdcdf6b5f58385da04bf7005887ccb4ea3ba584dfa1cefefe068991b.mp3],[sound:hypertts-18d884298d79a05ee22af55dcda2b5bbbc264ec6cacffffe82f8a66d.mp3],[sound:hypertts-c403a1d571bad6c09ab0ad87e47f72231f9da5873025364b9022f064.mp3],[sound:hypertts-01220e0bcfc83114fa7bcd9fac90c34ee3a6dcf3cef5e94bfa270d55.mp3]
（湯婆婆(ゆばーば)）これっぱかしの金(きん)で<br>どう埋(う)め合わせするのさ,（ 湯婆婆[ゆばーば]）これっぱかしの 金[きん]で<br>どう 埋[う]め 合[あ]わせするのさ,これっぱかしの金でどう埋め合わせするのさ,"<img src=""Spirited_Away_-_ja_-_Jap_6130916.jpeg"">",[sound:Spirited_Away_-_ja_-_Jap_6130648.mp3],Chỉ với số vàng này<br>làm sao bù được tổn thất chứ.,이 정도 금으로<br>어떻게 적자를 메워?,失[shī]去[qù]那[nà]么[me]多[duō]金[jīn]子[zi] 她[tā]要[yào]怎[zěn]么[me]补[bǔ]偿[cháng]？[？],失[shī]去[qù]那[nà]麼[me]多[duō]金[jīn]子[zi]，[，]她[tā]要[yào]怎[zěn]麼[me]補[bǔ]償[cháng]？[？],"This gold hardly covers the damage.<br>That fool, Sen.",Este oro apenas cubrirá los daños.,Este oro apenas cubre los daños.,埋め合[うめあ]わせ: 足[た]りない 部分[ぶぶん]を 補[おぎな]うこと,これっぱかし:ごくわずかな 量[りょう]を 表[あらわ]す,~のさ: 強調[きょうちょう]や 説明[せつめい],,ミスを 埋め合[うめあ]わせする。,これっぱかしのお 菓子[かし]。,そんなことできるのさ。,,[sound:hypertts-b6ae7682da5bb8d4a9b29568bd0d91256b44f920b70b809c8de93db4.mp3],[sound:hypertts-915b7dd378c14bcf1830932de1e7346a8c3d647d5745ab7e1b89138c.mp3],[sound:hypertts-d82dc0ff4714dcc1ef40f69f30a3da1ecff3263966074a8b0d88a703.mp3],
